Optical Parameter Monitor 7.0.5319.1035

Power Meter,PM100D
Power Meter SN,P0022241
Sensor,S401C
Sensor SN,1911562
Sensor Type,Thermopile
Wavelength,1030 nm
Range,Auto

Start of Measurement,5/27/2026 17:40:57
Elapsed Time,00:00:19:980
Samples,3454

--Statistics--
Minimum [W],0.0008454
Maximum [W],0.00086819
Mean [W],0.00085666
Standard Deviation [W],3.458E-06
Ratio,1.027 : 1

--Graph Data--
Time (ms),Power (W)
5702.971,0.00086084
5705.890,0.00086206
5708.861,0.00086084
5711.915,0.00086182
5714.998,0.00086084
5717.864,0.00086084
5721.126,0.00086108
5724.102,0.00086035
5727.065,0.0008601
5730.093,0.00086108
5759.859,0.00086059
5763.561,0.00086059
5766.542,0.00085839
5769.514,0.00086084
5772.614,0.00086035
5775.532,0.00086108
5778.507,0.00086108
5808.245,0.0008601
5811.874,0.00085986
5815.539,0.00085863
5818.453,0.00085986
5821.561,0.00085839
5824.525,0.00085912
5827.535,0.00085961
5830.528,0.00085765
5860.060,0.00085961
5864.270,0.00086108
5867.129,0.00085986
5870.186,0.00085863
5873.335,0.00085937
5876.186,0.00086035
5879.270,0.00086059
5911.143,0.00086059
5914.719,0.00085986
5918.001,0.00085912
5921.514,0.00085863
5925.020,0.00085912
5928.307,0.00085716
5957.828,0.00085961
5961.172,0.00085961
5964.184,0.00085765
5967.184,0.00085741
5970.174,0.00085765
5973.317,0.00085863
5976.287,0.00085863
5979.302,0.00085741
5983.424,0.00085716
5986.895,0.00085765
5989.912,0.00085814
5992.964,0.00085765
5995.807,0.00085863
5998.790,0.00085667
6001.946,0.00085937
6004.810,0.00085594
6007.882,0.00085692
6011.124,0.00085839
6014.178,0.00085839
6017.178,0.00085667
6020.187,0.00085814
6023.612,0.00085716
6026.535,0.00085643
6029.502,0.00085667
6059.347,0.00085839
6063.227,0.00085741
6066.206,0.00085618
6069.201,0.00085863
6072.258,0.00085716
6075.094,0.00085765
6078.088,0.00085814
6110.191,0.00085741
6114.069,0.00085765
6117.121,0.0008579
6120.122,0.00085814
6123.479,0.00085618
6126.393,0.00085863
6129.503,0.00085716
6158.994,0.0008579
6162.976,0.0008579
6166.345,0.0008579
6169.525,0.0008579
6172.741,0.00085888
6175.871,0.00085643
6178.765,0.00085888
6208.325,0.00085716
6211.835,0.00085839
6214.866,0.0008579
6217.872,0.00085986
6221.107,0.00085888
6224.592,0.0008579
6227.662,0.00085765
6230.538,0.00086108
6260.605,0.00085741
6263.875,0.00085594
6266.871,0.00085716
6269.894,0.00085814
6273.002,0.0008579
6276.096,0.00085692
6279.121,0.00085888
6285.503,0.00085594
6289.169,0.00085594
6292.328,0.00085643
6295.186,0.00085765
6298.240,0.00085839
6301.343,0.00085814
6304.208,0.00085594
6307.125,0.00085741
6310.307,0.00085569
6313.552,0.00085594
6316.473,0.00085569
6319.533,0.00085667
6322.895,0.0008579
6325.825,0.00085937
6328.753,0.00085692
6358.613,0.00085716
6362.325,0.00085594
6365.594,0.00085765
6368.444,0.00085667
6371.480,0.00085496
6374.521,0.0008552
6377.510,0.00085643
6380.541,0.00085422
6411.196,0.0008525
6414.861,0.00085398
6417.904,0.00085324
6421.065,0.00085349
6424.141,0.00085447
6427.174,0.00085471
6430.225,0.00085324
6459.798,0.00085496
6463.437,0.00085275
6467.101,0.00085422
6470.206,0.00085373
6473.349,0.0008552
6476.445,0.00085447
6479.456,0.00085373
6511.595,0.00085496
6514.840,0.00085299
6517.808,0.00085349
6521.103,0.00085226
6524.783,0.00085324
6527.891,0.00085299
6557.443,0.00085201
